zone,expansion_priority,expansion_type,estimated_budget,timeline,required_resources,growth_category,current_rides,current_revenue,growth_rate
Sikanderpur,70,Moderate Expansion,39135.3,Medium-term (3-6 months),Risk management team,Medium Growth,855,391353.0,-4.054054054054057
IGNOU Road,70,Moderate Expansion,40392.4,Medium-term (3-6 months),Risk management team,Medium Growth,818,403924.0,18.032786885245898
AIIMS,70,Moderate Expansion,44951.9,Medium-term (3-6 months),Standard operations,Medium Growth,918,449519.0,13.235294117647056
Badarpur,70,Moderate Expansion,44849.5,Medium-term (3-6 months),Standard operations,Medium Growth,921,448495.0,-10.126582278481012
Okhla,70,Moderate Expansion,40926.200000000004,Medium-term (3-6 months),Standard operations,Medium Growth,827,409262.0,-3.703703703703709
Lajpat Nagar,70,Moderate Expansion,39345.9,Medium-term (3-6 months),Risk management team,Medium Growth,826,393459.0,21.42857142857142
Tis Hazari,70,Moderate Expansion,40772.600000000006,Medium-term (3-6 months),Standard operations,Medium Growth,842,407726.0,20.33898305084745
Greater Noida,70,Moderate Expansion,44357.5,Medium-term (3-6 months),Standard operations,Medium Growth,866,443575.0,-10.666666666666668
INA Market,70,Moderate Expansion,39198.9,Medium-term (3-6 months),Risk management team,Medium Growth,839,391989.0,20.37037037037037
Sohna Road,70,Moderate Expansion,41009.600000000006,Medium-term (3-6 months),Standard operations,Medium Growth,842,410096.0,10.144927536231885
Mansarovar Park,70,Moderate Expansion,41034.0,Medium-term (3-6 months),Standard operations,Medium Growth,877,410340.0,-7.8947368421052655
Anand Vihar,70,Moderate Expansion,40109.8,Medium-term (3-6 months),Standard operations,Medium Growth,859,401098.0,-7.352941176470584
Udyog Vihar,70,Moderate Expansion,44227.4,Medium-term (3-6 months),Standard operations,Medium Growth,897,442274.0,-7.86516853932584
Basai Dhankot,70,Moderate Expansion,42549.700000000004,Medium-term (3-6 months),Standard operations,Medium Growth,862,425497.0,0.0
Vidhan Sabha,70,Moderate Expansion,38405.0,Medium-term (3-6 months),Standard operations,Medium Growth,825,384050.0,-13.513513513513509
MG Road,70,Moderate Expansion,38529.200000000004,Medium-term (3-6 months),Standard operations,Medium Growth,820,385292.0,3.174603174603185
Jasola,70,Moderate Expansion,42451.100000000006,Medium-term (3-6 months),Standard operations,Medium Growth,887,424511.0,14.0625
Tughlakabad,70,Moderate Expansion,43516.5,Medium-term (3-6 months),Standard operations,Medium Growth,869,435165.0,11.111111111111116
Ashram,70,Moderate Expansion,42736.4,Medium-term (3-6 months),Risk management team,Medium Growth,874,427364.0,7.246376811594213
Ambience Mall,70,Moderate Expansion,40787.8,Medium-term (3-6 months),Standard operations,Medium Growth,873,407878.0,5.882352941176472
Civil Lines Gurgaon,70,Moderate Expansion,41395.100000000006,Medium-term (3-6 months),Risk management team,Medium Growth,863,413951.0,5.633802816901401
Preet Vihar,70,Moderate Expansion,39966.4,Medium-term (3-6 months),Standard operations,Medium Growth,832,399664.0,1.5873015873015817
RK Puram,70,Moderate Expansion,40568.9,Medium-term (3-6 months),Standard operations,Medium Growth,850,405689.0,-4.109589041095896
Nawada,70,Moderate Expansion,39767.4,Medium-term (3-6 months),Standard operations,Medium Growth,880,397674.0,18.032786885245898
Samaypur Badli,70,Moderate Expansion,42229.100000000006,Medium-term (3-6 months),Standard operations,Medium Growth,879,422291.0,11.475409836065564
Keshav Puram,70,Moderate Expansion,42841.8,Medium-term (3-6 months),Standard operations,Medium Growth,865,428418.0,5.882352941176472
Khandsa,70,Moderate Expansion,45732.0,Medium-term (3-6 months),Standard operations,Medium Growth,949,457320.0,-17.204301075268813
Arjangarh,60,Maintain & Optimize,20304.600000000002,Long-term (6-12 months),Risk management team,Stable,810,406092.0,1.4084507042253502
Indraprastha,60,Maintain & Optimize,20779.7,Long-term (6-12 months),Standard operations,Stable,850,415594.0,2.9850746268656803
Greater Kailash,60,Maintain & Optimize,20788.4,Long-term (6-12 months),Standard operations,Stable,895,415768.0,-19.27710843373493
Ramesh Nagar,60,Maintain & Optimize,20063.9,Long-term (6-12 months),Standard operations,Stable,811,401278.0,-17.105263157894733
Rajiv Chowk,60,Maintain & Optimize,20390.100000000002,Long-term (6-12 months),Risk management team,Stable,830,407802.0,10.9375
Dilshad Garden,60,Maintain & Optimize,19791.0,Long-term (6-12 months),Standard operations,Stable,804,395820.0,3.076923076923066
Bahadurgarh,60,Maintain & Optimize,19016.100000000002,Long-term (6-12 months),Standard operations,Stable,802,380322.0,-16.883116883116877
Old Gurgaon,60,Maintain & Optimize,19029.95,Long-term (6-12 months),Risk management team,Stable,807,380599.0,7.692307692307687
Golf Course Road,60,Maintain & Optimize,19375.95,Long-term (6-12 months),Risk management team,Stable,818,387519.0,-17.567567567567565
Madipur,60,Maintain & Optimize,21704.25,Long-term (6-12 months),Standard operations,Stable,919,434085.0,6.666666666666665
Indirapuram,60,Maintain & Optimize,20517.5,Long-term (6-12 months),Risk management team,Stable,854,410350.0,-4.225352112676061
Chandni Chowk,60,Maintain & Optimize,20187.100000000002,Long-term (6-12 months),Standard operations,Stable,862,403742.0,-3.797468354430378
Connaught Place,60,Maintain & Optimize,20321.9,Long-term (6-12 months),Standard operations,Stable,837,406438.0,-10.666666666666668
Chirag Delhi,60,Maintain & Optimize,19037.95,Long-term (6-12 months),Risk management team,Stable,800,380759.0,0.0
IGI Airport,60,Maintain & Optimize,20555.25,Long-term (6-12 months),Standard operations,Stable,879,411105.0,-7.594936708860756
Narsinghpur,60,Maintain & Optimize,19292.8,Long-term (6-12 months),Standard operations,Stable,839,385856.0,0.0
Rithala,60,Maintain & Optimize,21308.850000000002,Long-term (6-12 months),Risk management team,Stable,872,426177.0,-1.3698630136986356
Pragati Maidan,60,Maintain & Optimize,21748.300000000003,Long-term (6-12 months),Standard operations,Stable,920,434966.0,7.246376811594213
Hero Honda Chowk,60,Maintain & Optimize,20772.0,Long-term (6-12 months),Standard operations,Stable,857,415440.0,0.0
Sultanpur,60,Maintain & Optimize,20915.7,Long-term (6-12 months),Risk management team,Stable,847,418314.0,1.4705882352941124
Seelampur,60,Maintain & Optimize,19595.7,Long-term (6-12 months),Risk management team,Stable,832,391914.0,-24.418604651162788
Yamuna Bank,60,Maintain & Optimize,19691.800000000003,Long-term (6-12 months),Standard operations,Stable,824,393836.0,2.898550724637672
Gurgaon Sector 29,60,Maintain & Optimize,19140.05,Long-term (6-12 months),Standard operations,Stable,824,382801.0,4.285714285714293
New Colony,60,Maintain & Optimize,21465.5,Long-term (6-12 months),Standard operations,Stable,881,429310.0,-30.000000000000004
Model Town,60,Maintain & Optimize,19798.7,Long-term (6-12 months),Risk management team,Stable,867,395974.0,2.941176470588225
Kashmere Gate ISBT,60,Maintain & Optimize,20103.15,Long-term (6-12 months),Standard operations,Stable,838,402063.0,-6.849315068493156
Tagore Garden,60,Maintain & Optimize,21772.2,Long-term (6-12 months),Standard operations,Stable,889,435444.0,-6.578947368421051
Bhiwadi,60,Maintain & Optimize,20422.050000000003,Long-term (6-12 months),Risk management team,Stable,848,408441.0,5.882352941176472
Kalkaji,60,Maintain & Optimize,19311.3,Long-term (6-12 months),Standard operations,Stable,803,386226.0,-1.4084507042253502
Udyog Vihar Phase 4,60,Maintain & Optimize,19846.800000000003,Long-term (6-12 months),Standard operations,Stable,838,396936.0,-20.238095238095237
Chanakyapuri,60,Maintain & Optimize,20614.25,Long-term (6-12 months),Standard operations,Stable,873,412285.0,-21.42857142857143
Gurgaon Sector 56,60,Maintain & Optimize,20020.100000000002,Long-term (6-12 months),Standard operations,Stable,829,400402.0,8.92857142857142
Noida Film City,60,Maintain & Optimize,21304.2,Long-term (6-12 months),Standard operations,Stable,883,426084.0,-22.78481012658228
Akshardham,60,Maintain & Optimize,19281.65,Long-term (6-12 months),Standard operations,Stable,839,385633.0,7.93650793650793
Shahdara,60,Maintain & Optimize,19611.0,Long-term (6-12 months),Standard operations,Stable,820,392220.0,16.393442622950815
Ghitorni,60,Maintain & Optimize,20541.7,Long-term (6-12 months),Standard operations,Stable,862,410834.0,0.0
Noida Extension,60,Maintain & Optimize,20003.2,Long-term (6-12 months),Standard operations,Stable,827,400064.0,-7.14285714285714
Mayur Vihar,60,Maintain & Optimize,21647.350000000002,Long-term (6-12 months),Risk management team,Stable,868,432947.0,3.5087719298245723
Lok Kalyan Marg,60,Maintain & Optimize,21060.350000000002,Long-term (6-12 months),Standard operations,Stable,880,421207.0,-11.111111111111116
Anand Vihar ISBT,60,Maintain & Optimize,20847.4,Long-term (6-12 months),Standard operations,Stable,831,416948.0,-9.230769230769232
Subhash Chowk,60,Maintain & Optimize,21685.7,Long-term (6-12 months),Risk management team,Stable,887,433714.0,-1.2820512820512775
Inderlok,60,Maintain & Optimize,22001.800000000003,Long-term (6-12 months),Risk management team,Stable,887,440036.0,-16.883116883116877
Moti Nagar,60,Maintain & Optimize,19751.100000000002,Long-term (6-12 months),Standard operations,Stable,853,395022.0,-14.634146341463415
Punjabi Bagh,60,Maintain & Optimize,21124.100000000002,Long-term (6-12 months),Risk management team,Stable,868,422482.0,-12.0
Dwarka Sector 21,60,Maintain & Optimize,21908.75,Long-term (6-12 months),Risk management team,Stable,914,438175.0,-7.692307692307687
GTB Nagar,60,Maintain & Optimize,20675.0,Long-term (6-12 months),Standard operations,Stable,872,413500.0,-5.405405405405405
Netaji Subhash Place,60,Maintain & Optimize,19442.05,Long-term (6-12 months),Risk management team,Stable,830,388841.0,3.125
Ghitorni Village,60,Maintain & Optimize,18463.45,Long-term (6-12 months),Standard operations,Stable,790,369269.0,-11.940298507462687
South Extension,60,Maintain & Optimize,19910.45,Long-term (6-12 months),Standard operations,Stable,844,398209.0,-30.33707865168539
Janakpuri,60,Maintain & Optimize,20176.45,Long-term (6-12 months),Standard operations,Stable,848,403529.0,-6.060606060606055
Karol Bagh,60,Maintain & Optimize,20515.65,Long-term (6-12 months),Standard operations,Stable,869,410313.0,-18.9873417721519
Lal Quila,60,Maintain & Optimize,19397.4,Long-term (6-12 months),Standard operations,Stable,827,387948.0,6.349206349206349
Delhi Gate,60,Maintain & Optimize,20216.050000000003,Long-term (6-12 months),Risk management team,Stable,854,404321.0,-25.0
Green Park,60,Maintain & Optimize,19359.65,Long-term (6-12 months),Standard operations,Stable,842,387193.0,0.0
Jor Bagh,60,Maintain & Optimize,21220.550000000003,Long-term (6-12 months),Risk management team,Stable,884,424411.0,-17.500000000000004
Ashok Vihar,60,Maintain & Optimize,19314.05,Long-term (6-12 months),Standard operations,Stable,796,386281.0,8.47457627118644
Ghaziabad,60,Maintain & Optimize,20501.300000000003,Long-term (6-12 months),Standard operations,Stable,851,410026.0,-12.16216216216216
India Gate,60,Maintain & Optimize,21010.0,Long-term (6-12 months),Risk management team,Stable,868,420200.0,-11.267605633802813
New Delhi Railway Station,60,Maintain & Optimize,20033.4,Long-term (6-12 months),Standard operations,Stable,847,400668.0,-9.589041095890416
Kashmere Gate,60,Maintain & Optimize,19404.15,Long-term (6-12 months),Standard operations,Stable,835,388083.0,-18.9873417721519
Subhash Nagar,60,Maintain & Optimize,21292.65,Long-term (6-12 months),Standard operations,Stable,861,425853.0,-8.21917808219178
Moolchand,60,Maintain & Optimize,19725.4,Long-term (6-12 months),Standard operations,Stable,848,394508.0,-4.225352112676061
Kanhaiya Nagar,60,Maintain & Optimize,21045.350000000002,Long-term (6-12 months),Standard operations,Stable,895,420907.0,-21.176470588235297
Barakhamba Road,60,Maintain & Optimize,23019.300000000003,Long-term (6-12 months),Standard operations,Stable,946,460386.0,-34.88372093023256
Cyber Hub,60,Maintain & Optimize,20558.100000000002,Long-term (6-12 months),Standard operations,Stable,864,411162.0,-17.721518987341767
Kirti Nagar,60,Maintain & Optimize,19696.0,Long-term (6-12 months),Standard operations,Stable,827,393920.0,-20.51282051282052
Raj Nagar Extension,60,Maintain & Optimize,20424.600000000002,Long-term (6-12 months),Risk management team,Stable,845,408492.0,-26.25
Aya Nagar,60,Maintain & Optimize,20551.2,Long-term (6-12 months),Standard operations,Stable,870,411024.0,-13.043478260869568
Jama Masjid,60,Maintain & Optimize,20960.95,Long-term (6-12 months),Standard operations,Stable,849,419219.0,-1.6129032258064502
Pulbangash,60,Maintain & Optimize,20310.350000000002,Long-term (6-12 months),Risk management team,Stable,860,406207.0,-19.753086419753085
Kherki Daula Toll,60,Maintain & Optimize,20455.2,Long-term (6-12 months),Standard operations,Stable,824,409104.0,-18.42105263157895
Vishwavidyalaya,60,Maintain & Optimize,21516.050000000003,Long-term (6-12 months),Standard operations,Stable,895,430321.0,-25.60975609756097
Tilak Nagar,60,Maintain & Optimize,21535.95,Long-term (6-12 months),Standard operations,Stable,900,430719.0,-18.9873417721519
Saidulajab,60,Maintain & Optimize,21400.4,Long-term (6-12 months),Standard operations,Stable,862,428008.0,-13.432835820895528
Khan Market,60,Maintain & Optimize,19961.95,Long-term (6-12 months),Standard operations,Stable,832,399239.0,-11.764705882352944
Noida Sector 62,60,Maintain & Optimize,19455.3,Long-term (6-12 months),Risk management team,Stable,834,389106.0,-17.721518987341767
Badshahpur,60,Maintain & Optimize,20931.2,Long-term (6-12 months),Standard operations,Stable,868,418624.0,-15.000000000000002
Vasant Kunj,60,Maintain & Optimize,20650.0,Long-term (6-12 months),Risk management team,Stable,873,413000.0,-27.77777777777778
Laxmi Nagar,60,Maintain & Optimize,18535.100000000002,Long-term (6-12 months),Standard operations,Stable,797,370702.0,-20.895522388059707
Nirman Vihar,60,Maintain & Optimize,20830.75,Long-term (6-12 months),Standard operations,Stable,846,416615.0,-11.111111111111116
Vaishali,60,Maintain & Optimize,20170.95,Long-term (6-12 months),Risk management team,Stable,869,403419.0,-13.6986301369863
Sonipat,60,Maintain & Optimize,19251.5,Long-term (6-12 months),Standard operations,Stable,857,385030.0,-23.076923076923077
Shastri Nagar,60,Maintain & Optimize,21312.5,Long-term (6-12 months),Standard operations,Stable,868,426250.0,-20.73170731707317
Meerut,60,Maintain & Optimize,19593.600000000002,Long-term (6-12 months),Risk management team,Stable,834,391872.0,-20.833333333333336
Faridabad Sector 15,60,Maintain & Optimize,19153.15,Long-term (6-12 months),Standard operations,Stable,831,383063.0,-19.17808219178082
IMT Manesar,60,Maintain & Optimize,21010.65,Long-term (6-12 months),Standard operations,Stable,840,420213.0,-29.411764705882348
Palam Vihar,60,Maintain & Optimize,18911.4,Long-term (6-12 months),Risk management team,Stable,818,378228.0,-23.529411764705888
Jhilmil,60,Maintain & Optimize,19784.2,Long-term (6-12 months),Risk management team,Stable,824,395684.0,-34.14634146341463
Chhatarpur,60,Maintain & Optimize,19375.3,Long-term (6-12 months),Standard operations,Stable,829,387506.0,-17.85714285714286
Mandi House,50,Maintain & Optimize,18791.8,Long-term (6-12 months),Risk management team,Declining,800,375836.0,-36.11111111111112
