pickup_location,rides,avg_booking_value,avg_ride_distance,cluster,cluster_label
Ghitorni,862,476.6055684454756,24.406415313225057,2,Low Demand
Ghitorni Village,790,467.4291139240506,24.19120253164557,2,Low Demand
Golf Course Road,818,473.73960880195597,24.272432762836186,2,Low Demand
Govindpuri,827,464.98428053204356,24.056166868198307,2,Low Demand
Greater Kailash,895,464.54525139664804,24.542346368715087,1,High Demand
Greater Noida,866,512.2113163972286,24.43319861431871,0,Medium Demand
Green Park,842,459.8491686460808,25.74212589073634,0,Medium Demand
Gurgaon Railway Station,876,487.4691780821918,23.943344748858447,1,High Demand
Gurgaon Sector 29,824,464.56432038834953,25.06867718446602,2,Low Demand
Gurgaon Sector 56,829,482.9939686369119,23.959167671893848,2,Low Demand
Gwal Pahari,815,471.8036809815951,23.685141104294477,2,Low Demand
Hauz Khas,876,481.0308219178082,24.065559360730592,1,High Demand
Hauz Rani,850,475.4858823529412,24.20121176470588,2,Low Demand
Hero Honda Chowk,857,484.7607934655776,24.614562427071178,0,Medium Demand
Huda City Centre,852,484.19483568075117,24.297781690140845,0,Medium Demand
IFFCO Chowk,830,480.6349397590362,24.09001204819277,2,Low Demand
IGI Airport,879,467.6962457337884,24.498896473265074,2,Low Demand
IGNOU Road,818,493.79462102689484,25.295061124694378,0,Medium Demand
IIT Delhi,826,466.9140435835351,24.45445520581114,2,Low Demand
IMT Manesar,840,500.25357142857143,24.53272619047619,0,Medium Demand
INA Market,839,467.2097735399285,23.742812872467223,2,Low Demand
ITO,878,495.63211845102506,24.797995444191343,0,Medium Demand
Inderlok,887,496.0947012401353,24.454193912063133,0,Medium Demand
India Gate,868,484.10138248847926,24.800725806451613,0,Medium Demand
Indirapuram,854,480.5035128805621,23.656112412177986,1,High Demand
Indraprastha,850,488.9341176470588,23.906576470588234,1,High Demand
Jahangirpuri,884,477.2319004524887,24.148212669683257,1,High Demand
Jama Masjid,849,493.7797408716137,24.014899882214372,1,High Demand
Janakpuri,848,475.85966981132077,24.699976415094337,0,Medium Demand
Jasola,887,478.59188275084557,23.938635851183765,1,High Demand
Jhilmil,824,480.1990291262136,24.53483009708738,2,Low Demand
Jor Bagh,884,480.1029411764706,24.850067873303168,0,Medium Demand
Kadarpur,844,485.7547393364929,24.340355450236967,0,Medium Demand
Kalkaji,803,480.9788293897883,24.48032378580324,2,Low Demand
Kanhaiya Nagar,895,470.2871508379888,23.8104469273743,1,High Demand
Karkarduma,836,470.4366028708134,24.556985645933015,2,Low Demand
Karol Bagh,869,472.1668584579977,24.503624856156502,2,Low Demand
Kashmere Gate,835,464.7700598802395,24.102814371257484,2,Low Demand
Kashmere Gate ISBT,838,479.7887828162291,24.01502386634845,2,Low Demand
Kaushambi,855,487.14152046783624,24.853672514619884,0,Medium Demand
Keshav Puram,865,495.2809248554913,24.4497225433526,0,Medium Demand
Khan Market,832,479.8545673076923,24.110877403846153,2,Low Demand
Khandsa,949,481.89673340358274,24.323414120126447,1,High Demand
Kherki Daula Toll,824,496.4854368932039,24.65976941747573,0,Medium Demand
Kirti Nagar,827,476.3240628778718,24.07638452237001,2,Low Demand
Lajpat Nagar,826,476.34261501210653,24.478789346246973,2,Low Demand
Lal Quila,827,469.10278113663844,23.73240628778718,2,Low Demand
Laxmi Nagar,797,465.12170639899625,24.5130112923463,2,Low Demand
Lok Kalyan Marg,880,478.64431818181816,24.215886363636365,1,High Demand
MG Road,820,469.86829268292684,24.311085365853657,2,Low Demand
Madipur,919,472.3449401523395,23.983318824809572,1,High Demand
Maidan Garhi,825,471.0436363636364,24.40539393939394,2,Low Demand
Malviya Nagar,885,475.42033898305084,25.009468926553673,0,Medium Demand
Mandi House,800,469.795,23.8802125,2,Low Demand
Manesar,824,478.13349514563106,24.28003640776699,2,Low Demand
Mansarovar Park,877,467.89053591790196,24.68139110604333,2,Low Demand
Mayur Vihar,868,498.786866359447,24.40246543778802,0,Medium Demand
Meerut,834,469.8705035971223,24.63509592326139,2,Low Demand
Mehrauli,915,462.0743169398907,24.49457923497268,1,High Demand
Model Town,867,456.71741637831605,24.803806228373706,2,Low Demand
Moolchand,848,465.22169811320754,24.64116745283019,2,Low Demand
Moti Nagar,853,463.0973036342321,24.82757327080891,2,Low Demand
Mundka,830,488.3975903614458,24.53109638554217,0,Medium Demand
Munirka,815,479.45153374233126,24.393963190184046,2,Low Demand
Narsinghpur,839,459.8998808104887,23.91865315852205,2,Low Demand
Nawada,880,451.9022727272727,24.635306818181817,2,Low Demand
Nehru Place,885,471.6858757062147,24.170790960451978,1,High Demand
Netaji Subhash Place,830,468.4831325301205,24.666036144578314,2,Low Demand
New Colony,881,487.29852440408627,24.1022247446084,1,High Demand
New Delhi Railway Station,847,473.04368358913814,24.423730814639907,2,Low Demand
Nirman Vihar,846,492.4527186761229,24.42964539007092,0,Medium Demand
Noida Extension,827,483.75332527206774,24.305562273276905,2,Low Demand
Noida Film City,883,482.5413363533409,23.867395243488108,1,High Demand
Noida Sector 18,799,486.87859824780975,23.783128911138924,2,Low Demand
Noida Sector 62,834,466.55395683453236,23.845383693045562,2,Low Demand
Okhla,827,494.87545344619105,24.495175332527204,0,Medium Demand
Old Gurgaon,807,471.62205700123917,24.864225526641885,2,Low Demand
Paharganj,825,500.9430303030303,24.79478787878788,0,Medium Demand
Palam Vihar,818,462.38141809290954,24.322176039119807,2,Low Demand
Panchsheel Park,876,480.04680365296804,23.911392694063927,1,High Demand
Panipat,843,484.129300118624,24.42209964412811,0,Medium Demand
Paschim Vihar,825,473.3018181818182,24.401139393939392,2,Low Demand
Pataudi Chowk,907,496.9151047409041,24.177078280044103,1,High Demand
Patel Chowk,854,461.864168618267,23.931487119437936,2,Low Demand
Peeragarhi,861,483.84785133565623,24.173170731707316,1,High Demand
Pitampura,851,467.72972972972974,24.923689776733255,2,Low Demand
Pragati Maidan,920,472.78913043478263,24.617173913043477,1,High Demand
Preet Vihar,832,480.36538461538464,24.784915865384615,0,Medium Demand
Pulbangash,860,472.3337209302326,24.159767441860467,2,Low Demand
Punjabi Bagh,868,486.7304147465438,24.19361751152074,1,High Demand
Qutub Minar,823,474.8116646415553,25.217800729040096,0,Medium Demand
RK Puram,850,477.2811764705882,24.22664705882353,2,Low Demand
Raj Nagar Extension,845,483.4224852071006,24.254201183431952,2,Low Demand
Rajiv Chowk,830,491.3277108433735,23.895457831325302,1,High Demand
Rajiv Nagar,884,465.6108597285068,24.283891402714932,1,High Demand
Rajouri Garden,852,482.19953051643193,24.871478873239436,0,Medium Demand
Ramesh Nagar,811,494.7940813810111,24.661319358816275,0,Medium Demand
Rithala,872,488.73509174311926,24.557522935779815,0,Medium Demand
Rohini,847,469.5442739079103,24.147697756788663,2,Low Demand
Rohini East,866,473.34988452655887,23.93812933025404,1,High Demand
Rohini West,835,496.73413173652693,23.797329341317365,1,High Demand
Sadar Bazar Gurgaon,817,460.2949816401469,24.107539779681762,2,Low Demand
Saidulajab,862,496.5290023201856,23.629941995359626,1,High Demand
Saket,931,453.7765843179377,24.245692803437162,1,High Demand
Saket A Block,823,471.25151883353584,23.804070473876063,2,Low Demand
Samaypur Badli,879,480.42207053469855,25.076166097838453,0,Medium Demand
Sarai Kale Khan,854,488.9566744730679,24.445866510538643,0,Medium Demand
Sarojini Nagar,848,484.67806603773585,25.095235849056603,0,Medium Demand
Satguru Ram Singh Marg,844,482.15047393364927,23.940509478672986,1,High Demand
Seelampur,832,471.0504807692308,23.912848557692307,2,Low Demand
Shahdara,820,478.3170731707317,24.007317073170732,2,Low Demand
Shastri Nagar,868,491.07142857142856,24.123709677419356,1,High Demand
Shastri Park,867,466.07612456747404,24.715674740484427,2,Low Demand
Shivaji Park,900,478.4711111111111,25.130355555555557,0,Medium Demand
Sikanderpur,855,457.72280701754386,25.14590643274854,2,Low Demand
Sohna Road,842,487.0498812351544,24.299287410926365,0,Medium Demand
Sonipat,857,449.2765460910152,24.33964994165694,2,Low Demand
South Extension,844,471.81161137440756,24.09126777251185,2,Low Demand
Subhash Chowk,887,488.967305524239,24.275456595264934,1,High Demand
Subhash Nagar,861,494.602787456446,23.779616724738677,1,High Demand
Sultanpur,847,493.87721369539554,24.954545454545453,0,Medium Demand
Sushant Lok,850,469.6905882352941,24.44855294117647,2,Low Demand
Tagore Garden,889,489.8132733408324,23.75060742407199,1,High Demand
Tilak Nagar,900,478.57666666666665,24.057255555555553,1,High Demand
Tis Hazari,842,484.2351543942993,24.111425178147268,2,Low Demand
Tughlakabad,869,500.76524741081704,23.830138089758343,1,High Demand
Udyog Bhawan,838,473.1241050119332,24.520596658711217,2,Low Demand
Udyog Vihar,897,493.0590858416945,24.215707915273132,1,High Demand
Udyog Vihar Phase 4,838,473.67064439140813,24.228257756563245,2,Low Demand
Uttam Nagar,825,475.6921212121212,23.96250909090909,2,Low Demand
Vaishali,869,464.2336018411968,24.5046835443038,2,Low Demand
Vasant Kunj,873,473.08132875143184,23.78292096219931,1,High Demand
Vatika Chowk,833,450.2436974789916,24.19625450180072,2,Low Demand
Vidhan Sabha,825,465.5151515151515,24.099781818181818,2,Low Demand
Vinobapuri,823,468.636695018226,24.33704738760632,2,Low Demand
Vishwavidyalaya,895,480.80558659217877,24.52521787709497,1,High Demand
Welcome,836,487.99401913875596,24.260442583732058,0,Medium Demand
Yamuna Bank,824,477.95631067961165,24.185303398058252,2,Low Demand
