ds,yhat
2024-05-02,408.64868611827677
2024-05-03,412.14571557325195
2024-05-04,414.9319256750213
2024-05-05,412.16604755524867
2024-05-06,409.0032734511418
2024-05-07,411.9479452536808
2024-05-08,412.37123052624185
2024-05-09,408.5679360184916
2024-05-10,412.06496547591604
2024-05-11,414.85117558012666
2024-05-12,412.08529746279544
2024-05-13,408.9225233611431
2024-05-14,411.86719516612146
2024-05-15,412.2904804411255
2024-05-16,408.48718593338117
2024-05-17,411.9842153908078
2024-05-18,414.7704254950135
2024-05-19,412.0045473776788
2024-05-20,408.8417732760291
2024-05-21,411.786445080146
2024-05-22,412.2097303542879
2024-05-23,408.40643584566516
2024-05-24,411.90346530222706
2024-05-25,414.689675405563
2024-05-26,411.92379728737507
2024-05-27,408.7610231848384
2024-05-28,411.705694988962
2024-05-29,412.12898026309506
2024-05-30,408.3256857544754
2024-05-31,411.8227152110424
2024-06-01,414.60892531712835
2024-06-02,411.8430472016921
2024-06-03,408.68027310191314
2024-06-04,411.62494490879214
2024-06-05,412.04823018568266
2024-06-06,408.2449356798162
2024-06-07,411.7419651391219
2024-06-08,414.52817524522425
2024-06-09,411.7622971297872
2024-06-10,408.59952303001137
2024-06-11,411.5441948368938
2024-06-12,411.9674801137904
2024-06-13,408.16418558812643
2024-06-14,411.6612150276514
2024-06-15,414.44742511396623
2024-06-16,411.6815469787344
2024-06-17,408.5187728591814
2024-06-18,411.4634446462658
2024-06-19,411.88672990338597
2024-06-20,408.083435377724
2024-06-21,411.58046481725256
2024-06-22,414.36667490356245
2024-06-23,411.60079676835113
2024-06-24,408.43802264877996
2024-06-25,411.3826944239835
2024-06-26,411.8059796692105
2024-06-27,408.002685131666
2024-06-28,411.4997145593166
2024-06-29,414.2859246337396
2024-06-30,411.5200464866383
2024-07-01,408.35727235518544
2024-07-02,411.3019441303924
2024-07-03,411.7252293756137
2024-07-04,407.9219348380779
2024-07-05,411.4189642657278
2024-07-06,414.2051743225319
2024-07-07,411.4392961578156
2024-07-08,408.27652200875497
2024-07-09,411.2211937663292
2024-07-10,411.64447899395117
2024-07-11,407.84118443879936
2024-07-12,411.3382138488402
2024-07-13,414.1244239056407
2024-07-14,411.3585457409221
2024-07-15,408.19577159185826
2024-07-16,411.14044334943907
2024-07-17,411.56372857705543
2024-07-18,407.76043400995684
2024-07-19,411.25746340804994
2024-07-20,414.04367345289523
2024-07-21,411.27779527621857
2024-07-22,408.1150211152118
2024-07-23,411.05969286084485
2024-07-24,411.4829780765035
2024-07-25,407.6796835094069
2024-07-26,411.17671290748234
2024-07-27,413.96292295234554
2024-07-28,411.19704477566654
2024-07-29,408.03427061465976
2024-07-30,410.9789423675177
2024-07-31,411.40222759040705
2024-08-01,407.59893303051865
2024-08-02,411.0959624358218
2024-08-03,413.8821724879016
2024-08-04,411.1162943184407
2024-08-05,407.95352016465785
2024-08-06,410.8981919175224
2024-08-07,411.3214771404053
2024-08-08,407.51818258051895
2024-08-09,411.01521198582566
2024-08-10,413.80142204323886
2024-08-11,411.0355438791311
2024-08-12,407.8727697306728
2024-08-13,410.8174414888681
2024-08-14,411.24072671708524
2024-08-15,407.43743216253887
2024-08-16,410.93446157316595
2024-08-17,413.72067163059563
2024-08-18,410.9547934664845
2024-08-19,407.7920193180319
2024-08-20,410.7366910762306
2024-08-21,411.15997630444133
2024-08-22,407.3566817469058
2024-08-23,410.8537111545397
2024-08-24,413.63992120897365
2024-08-25,410.8740430418647
2024-08-26,407.71126889041824
2024-08-27,410.65594064561384
2024-08-28,411.0792258708375
2024-08-29,407.2759313133051
2024-08-30,410.7729607209439
2024-08-31,413.5591707753729
2024-09-01,410.7932926082606
2024-09-02,407.6305184431475
2024-09-03,410.5751901846773
2024-09-04,410.998475396231
2024-09-05,407.19518082502753
2024-09-06,410.69221021900216
2024-09-07,413.47842025975774
2024-09-08,410.7125420789932
2024-09-09,407.5497679138646
2024-09-10,410.49443965539473
2024-09-11,410.91772486694265
2024-09-12,407.1144302957465
2024-09-13,410.611459689722
2024-09-14,413.3976697296048
2024-09-15,410.63179154796336
2024-09-16,407.46901738197386
2024-09-17,410.41368912263806
2024-09-18,410.83697433332264
2024-09-19,407.0336797612468
2024-09-20,410.5307091543565
2024-09-21,413.3169191942359
2024-09-22,410.5510410125922
2024-09-23,407.38826684660256
2024-09-24,410.3329385872734
2024-09-25,410.75622379795163
2024-09-26,406.9529292169332
2024-09-27,410.4499586011076
2024-09-28,413.2361686320403
2024-09-29,410.4702904414515
2024-09-30,407.3075162665227
2024-10-01,410.25218799825524
2024-10-02,410.6754731999886
2024-10-03,406.8721786189721
2024-10-04,410.3692080031286
2024-10-05,413.15541803407785
2024-10-06,410.3895398434882
2024-10-07,407.2267656557891
2024-10-08,410.1714373747421
2024-10-09,410.59472256370793
2024-10-10,406.791427969903
2024-10-11,410.2884573412879
2024-10-12,413.0746673594578
2024-10-13,410.3087891560859
2024-10-14,407.14601496838935
2024-10-15,410.09068668733323
2024-10-16,410.51397187630835
2024-10-17,406.7106772825054
2024-10-18,410.20770665389375
2024-10-19,412.99391667400664
2024-10-20,410.22803847259416
2024-10-21,407.06526428682696
2024-10-22,410.00993600771574
2024-10-23,410.43322119862984
2024-10-24,406.62992660677475
2024-10-25,410.1269559801129
2024-10-26,412.9131660002207
2024-10-27,410.1472877988048
2024-10-28,406.9845136130402
2024-10-29,409.9291853339324
2024-10-30,410.3524705248458
2024-10-31,406.54917593299297
2024-11-01,410.04620530633184
2024-11-02,412.83241532643484
2024-11-03,410.0665371250181
2024-11-04,406.9037629392566
2024-11-05,409.8484346601398
2024-11-06,410.2717198510567
2024-11-07,406.46842525920704
2024-11-08,409.96545463252943
2024-11-09,412.7516646526504
2024-11-10,409.98578645122615
2024-11-11,406.8230122654698
2024-11-12,409.76768398635323
2024-11-13,410.1909691772676
2024-11-14,406.3876745854225
2024-11-15,409.8847039587484
2024-11-16,412.67091397886384
2024-11-17,409.9050357774394
2024-11-18,406.74226159168626
2024-11-19,409.68693331257305
2024-11-20,410.11021850348106
2024-11-21,406.3069239116351
2024-11-22,409.8039532849674
2024-11-23,412.59016330508086
2024-11-24,409.8242851036527
2024-11-25,406.66151091790266
2024-11-26,409.60618263878973
2024-11-27,410.02946782970446
2024-11-28,406.2261732378505
2024-11-29,409.7232026111864
2024-11-30,412.50941263129494
2024-12-01,409.74353442986336
2024-12-02,406.5807602441158
2024-12-03,409.5254319650064
2024-12-04,409.9487171559203
2024-12-05,406.1454225640674
2024-12-06,409.64245193740544
2024-12-07,412.42866195751054
2024-12-08,409.6627837560979
2024-12-09,406.50000957032904
2024-12-10,409.4446812912231
2024-12-11,409.86796648213124
2024-12-12,406.0646718902828
2024-12-13,409.561701263603
2024-12-14,412.3479112837261
2024-12-15,409.58203308230594
2024-12-16,406.4192588965487
2024-12-17,409.36393061744286
2024-12-18,409.78721580834474
2024-12-19,405.9839212164982
2024-12-20,409.4809505898221
2024-12-21,412.2671606099417
2024-12-22,409.5012824085166
2024-12-23,406.3385082227619
2024-12-24,409.28317994364704
2024-12-25,409.70646513455813
2024-12-26,405.90317054271094
2024-12-27,409.400199916041
2024-12-28,412.1864099361557
2024-12-29,409.4205317347485
2024-12-30,406.2577575489751
2024-12-31,409.20242926986685
2025-01-01,409.6257144607715
2025-01-02,405.8224198689263
2025-01-03,409.3194492422601
2025-01-04,412.10565926237064
2025-01-05,409.3397810609618
2025-01-06,406.1770068751948
2025-01-07,409.1216785960804
2025-01-08,409.54496378699736
2025-01-09,405.74166919514454
2025-01-10,409.2386985684791
2025-01-11,412.02490858858476
2025-01-12,409.25903038717246
2025-01-13,406.09625620140804
2025-01-14,409.0409279223002
2025-01-15,409.4642131132108
2025-01-16,405.6609185213599
2025-01-17,409.157947894698
2025-01-18,411.9441579148033
2025-01-19,409.1782797133831
2025-01-20,406.01550552762126
2025-01-21,408.96017724852004
2025-01-22,409.3834624394218
2025-01-23,405.580167847574
2025-01-24,409.077197220917
2025-01-25,411.8634072410167
2025-01-26,409.0975290395938
2025-01-27,405.9347548538345
2025-01-28,408.8794265747336
2025-01-29,409.3027117656377
