zone,total_rides,total_revenue,avg_monthly_rides,avg_monthly_revenue,avg_ride_growth_rate,avg_revenue_growth_rate,recent_ride_growth_rate,recent_revenue_growth_rate,ride_growth_volatility,revenue_growth_volatility,growth_consistency,market_share_percent,data_months,volume_index,normalized_avg_growth,normalized_recent_growth,growth_rate_index,normalized_volatility,consistency_index,overall_growth_index,volume_rank,growth_rank,consistency_rank,overall_rank,growth_category
Panchsheel Park,876,420521.0,73.0,35043.416666666664,3.00840448547546,4.558210649086754,24.590163934426236,46.86790486470392,20.17159563320964,23.991328438582585,0.5454545454545454,0.584,12,92.3076923076923,0.7240063533002358,0.6832775701544284,70.7714840041913,0.44799750916880454,47.723462005452674,70.31793989562001,35.0,19.0,108.0,11.0,Medium Growth
Sadar Bazar Gurgaon,817,376061.0,68.08333333333333,31338.416666666668,2.4200003018906417,4.514630755321337,47.169811320754704,66.35950738055725,19.78930524404558,24.549178586305466,0.45454545454545453,0.5446666666666666,12,86.09062170706007,0.647427447861069,0.9374430154354423,76.34336748908184,0.4584590140926871,45.72849462285173,70.08308189460628,162.0,9.0,119.0,12.0,Medium Growth
Pataudi Chowk,907,450702.0,75.58333333333333,37558.5,2.2747325047334352,6.606252483137754,11.940298507462677,50.81267129836191,15.180310503997504,20.26088463624469,0.5454545454545454,0.6046666666666667,12,95.57428872497366,0.6285213129079102,0.5408856796178289,59.34670595918777,0.5845857034729656,57.28463560674395,69.59635968319039,10.0,40.0,44.0,13.0,Medium Growth
DLF City Court,864,420631.0,72.0,35052.583333333336,1.8646689101848049,5.32418169522273,8.450704225352123,30.838674731425474,10.074997480687408,17.866611775671924,0.5454545454545454,0.5760000000000001,12,91.04320337197049,0.5751528595436458,0.5016054256179489,54.5733885973367,0.7242943094049843,67.06423802198526,69.2615878571214,58.0,51.0,6.0,14.0,Medium Growth
Manesar,824,393982.0,68.66666666666667,32831.833333333336,3.520682762644479,3.0592077173568915,28.787878787878785,28.42029881839785,23.343255712367057,27.184605461893636,0.5454545454545454,0.5493333333333333,12,86.82824025289779,0.790677717713148,0.7305287094940306,76.6618114425501,0.36120396563363777,41.647913957991,69.20757084028668,148.0,8.0,141.0,15.0,Medium Growth
Qutub Minar,823,390770.0,68.58333333333333,32564.166666666668,3.6126090722221433,2.336987073820934,17.460317460317466,10.37567685736387,21.804544322885885,19.82684868856324,0.6363636363636364,0.5486666666666666,12,86.72286617492097,0.8026416302156579,0.6030211971087469,72.27934569728936,0.4033113197125371,47.32270147078669,69.12540857262805,153.0,14.0,111.0,16.0,Medium Growth
IIT Delhi,826,385671.0,68.83333333333333,32139.25,2.6555422237505115,2.100975882938959,5.47945205479452,0.26805015131863286,13.338268401541331,12.260723789124143,0.6363636363636364,0.5506666666666666,12,87.03898840885142,0.6780824687876265,0.4681598355229855,59.41134154817701,0.6349938044115797,63.54047539971967,68.93837576184214,141.0,39.0,17.0,17.0,Medium Growth
Rohini East,866,409921.0,72.16666666666667,34160.083333333336,3.3365990612679224,4.654766616242106,22.058823529411775,10.36559254897762,21.671268956248397,23.536332418148643,0.45454545454545453,0.5773333333333334,12,91.25395152792413,0.7667198181028455,0.6547838009564259,72.19454112442776,0.4069584448923228,42.12345477882623,68.8910383417962,55.0,15.0,139.0,18.0,Medium Growth
Malviya Nagar,885,420747.0,73.75,35062.25,1.2575580768853336,2.5482119036664246,38.095238095238095,64.73971932114881,16.623579348234617,25.22066381418429,0.45454545454545453,0.59,12,93.25605900948368,0.4961393440191898,0.8352960285876716,63.18020178465825,0.5450901667070831,51.79267530585945,68.78670100846624,21.0,28.0,77.0,19.0,Medium Growth
Uttam Nagar,825,392446.0,68.75,32703.833333333332,3.680282051847145,3.148628736304987,18.333333333333336,16.132291526337063,22.013432503087046,18.43182299174634,0.5454545454545454,0.5499999999999999,12,86.9336143308746,0.8114490501016225,0.6128482092097782,73.20087137448847,0.397595024488653,44.195288077842065,68.6190192724104,143.0,12.0,127.0,20.0,Medium Growth
Gwal Pahari,815,384520.0,67.91666666666667,32043.333333333332,4.507417218021432,4.322152263299883,10.606060606060597,-2.403818339600805,23.628612472566402,23.546920946886182,0.5454545454545454,0.5433333333333333,12,85.87987355110643,0.9190980224287196,0.5258669698692437,76.18056014049293,0.35339508202969383,41.101292105714926,68.56657375324357,163.0,10.0,142.0,21.0,Medium Growth
Rajouri Garden,852,410834.0,71.0,34236.166666666664,1.8306561565086084,3.1576983029183254,-1.449275362318836,-9.04968167679293,8.911464959749903,16.6574485534781,0.6363636363636364,0.5680000000000001,12,89.77871443624869,0.5707262094276893,0.39016733816150484,49.85026609212155,0.7561347677107809,72.02034283066375,68.47982361692235,81.0,70.0,1.0,22.0,Medium Growth
Munirka,815,390753.0,67.91666666666667,32562.75,4.463935911570728,6.086159031818853,1.2820512820512775,2.376853180296501,19.728275661631745,20.427228228189836,0.45454545454545453,0.5433333333333333,12,85.87987355110643,0.9134390707285913,0.42091223160012237,71.64283350772037,0.46012910911736427,45.84540127457913,68.17471585079382,163.0,17.0,117.0,23.0,Medium Growth
Ardee City,861,409637.0,71.75,34136.416666666664,1.5789244924158525,4.775034085121323,16.666666666666675,30.373318693384576,13.396721300099303,24.84154921044641,0.5454545454545454,0.5740000000000001,12,90.72708113804005,0.5379641458013615,0.5940875497441729,56.0413507378486,0.6333942212062144,60.70123184807136,67.84503419097287,66.0,48.0,27.0,24.0,Medium Growth
Paharganj,825,413278.0,68.75,34439.833333333336,3.2348608787433024,3.688746953015644,10.95890410958904,2.3119358074222607,17.2309951525264,16.526746931112264,0.45454545454545453,0.5499999999999999,12,86.9336143308746,0.753478922003774,0.5298387159578527,66.40228395854054,0.528468029170909,50.629125678327256,67.82973558617678,143.0,27.0,88.0,25.0,Medium Growth
Satguru Ram Singh Marg,844,406935.0,70.33333333333333,33911.25,1.303676447080498,1.8462822845209474,11.764705882352944,10.17637355665524,9.656312372495991,14.266484167387384,0.5454545454545454,0.5626666666666666,12,88.93572181243414,0.5021415010546264,0.5389091395512156,51.68485564532621,0.7357517680412804,67.86626012652597,67.71453683981852,100.0,66.0,4.0,26.0,Medium Growth
Welcome,836,407963.0,69.66666666666667,33996.916666666664,3.1276650153005097,3.415623291347785,5.633802816901401,-1.0448696048286021,17.36758569734777,22.687653184657595,0.5454545454545454,0.5573333333333332,12,88.0927291886196,0.739527726347681,0.4698972687746718,63.16755433184773,0.5247301830264397,53.09474917548713,67.62326524197111,118.0,29.0,67.0,27.0,Medium Growth
ITO,878,435165.0,73.16666666666667,36263.75,1.963192443567621,1.5096078177272994,24.590163934426236,-0.4235334793131318,19.529276526920096,20.8640328747103,0.5454545454545454,0.5853333333333334,12,92.51844046364594,0.5879753794320819,0.6832775701544284,62.609625572102054,0.4655747872893594,48.95387147389152,67.48554381010207,33.0,32.0,99.0,28.0,Medium Growth
Pitampura,851,398038.0,70.91666666666667,33169.833333333336,2.395117157926869,5.128416431334073,31.034482758620683,42.447410836054054,21.062504165540297,34.601070195637504,0.45454545454545453,0.5673333333333334,12,89.67334035827187,0.6441889869836809,0.7558173727235301,68.88403412796205,0.42361749789494996,43.28958848901013,67.44249230536943,83.0,21.0,133.0,29.0,Medium Growth
Rohini,847,397704.0,70.58333333333333,33142.0,3.9798022926270153,4.93666364485125,10.447761194029859,5.9259259259259345,26.066768450157685,28.88721280962551,0.6363636363636364,0.5646666666666667,12,89.2518440463646,0.8504306427477799,0.5240850890516152,71.9892421269314,0.28667412464298236,39.158097815917856,67.3186794094573,94.0,16.0,153.0,30.0,Medium Growth
Sushant Lok,850,399237.0,70.83333333333333,33269.75,1.0745664633924124,5.278142803322016,33.33333333333333,58.52469388514645,14.963601303809389,26.095503353595742,0.45454545454545453,0.5666666666666667,12,89.56796628029505,0.47232357612226605,0.7816941444002273,59.60718034334506,0.5905160235361406,54.97248528389348,67.20500760659458,85.0,37.0,57.0,31.0,Medium Growth
Jahangirpuri,884,421873.0,73.66666666666667,35156.083333333336,1.63726111695126,2.8109083022373365,8.450704225352123,10.935803257745125,13.697371537468722,18.165892591358542,0.5454545454545454,0.5893333333333334,12,93.15068493150685,0.5455564692051824,0.5016054256179489,52.79760517702889,0.6251668264619096,60.12531421597003,67.10184181505463,23.0,63.0,30.0,32.0,Medium Growth
Rohini West,835,414773.0,69.58333333333333,34564.416666666664,2.1217397788456065,2.580023778669209,11.764705882352944,-22.306367518342885,15.802953659784489,26.43628455926141,0.5454545454545454,0.5566666666666666,12,87.98735511064278,0.6086098034124046,0.5389091395512156,58.072953786792894,0.5675468643477375,56.091916867977986,66.4529631083034,120.0,42.0,52.0,33.0,Medium Growth
Mehrauli,915,422798.0,76.25,35233.166666666664,1.2504807311197033,2.8826285864363697,-1.3698630136986356,2.7125141579299017,10.018031598862205,15.11776528564566,0.45454545454545453,0.61,12,96.4172813487882,0.4952182503096847,0.3910612349794014,45.35554441775714,0.7258531998979176,64.44608762921786,66.40122846050467,8.0,84.0,15.0,34.0,Medium Growth
Ashok Park Main,884,428211.0,73.66666666666667,35684.25,2.7975871397401106,4.761839064384896,30.000000000000004,30.980609035290875,26.625623424741978,34.11749753239113,0.45454545454545453,0.5893333333333334,12,93.15068493150685,0.69656915615856,0.7441728254690164,71.56106238827425,0.27138087052499615,32.63302457311337,66.35953780669577,23.0,18.0,168.0,35.0,Medium Growth
Hauz Khas,876,421383.0,73.0,35115.25,1.3510981060655576,2.3390964244465384,7.692307692307687,6.554732510288064,13.243450694213614,14.774195903549064,0.5454545454545454,0.584,12,92.3076923076923,0.5083132769197479,0.49306861416014336,50.22154118159061,0.6375885228251114,60.99483296139415,66.07937405336219,35.0,68.0,24.0,36.0,Medium Growth
Sarai Kale Khan,854,417569.0,71.16666666666667,34797.416666666664,2.726358842580733,2.2968342090326193,6.944444444444442,26.6466155249907,19.300483172109118,15.224546193562123,0.5454545454545454,0.5693333333333334,12,89.98946259220232,0.6872990231701622,0.48465036952814095,60.62395617133537,0.4718357943032696,49.39214196486523,66.06406383565441,76.0,34.0,96.0,37.0,Medium Growth
Bhikaji Cama Place,821,386735.0,68.41666666666667,32227.916666666668,3.2698678307891473,4.072072325326996,12.12121212121211,16.23321323288569,21.29274294351184,25.195187678633467,0.45454545454545453,0.5473333333333333,12,86.51211801896733,0.7580349638287992,0.542922114837976,67.198982423247,0.4173169363906839,42.848549183711505,65.68779313010245,156.0,26.0,135.0,38.0,Medium Growth
Govindpuri,827,384542.0,68.91666666666667,32045.166666666668,2.226085717033372,3.6050918907703196,13.157894736842103,4.132712456344589,20.020811701226894,28.762391145699123,0.6363636363636364,0.5513333333333333,12,87.14436248682824,0.6221900904945921,0.5545914245534245,59.5150624118125,0.4521237621209888,50.7395724393783,65.17120544258697,136.0,38.0,86.0,39.0,Medium Growth
IFFCO Chowk,830,398927.0,69.16666666666667,33243.916666666664,1.5129543163162795,4.047788584980428,8.196721311475418,20.162705375658007,13.443509708884003,29.59483360954717,0.5454545454545454,0.5533333333333333,12,87.46048472075869,0.5293783402984913,0.498746493443555,51.71256015565168,0.6321138406819953,60.61160521137603,65.10665104190109,130.0,65.0,28.0,40.0,Medium Growth
Gurgaon Railway Station,876,427023.0,73.0,35585.25,1.5946188010023254,0.7759684684445652,-5.128205128205132,-4.849515302238238,10.99035198731521,10.57055008432113,0.45454545454545453,0.584,12,92.3076923076923,0.5400067094110462,0.34875584904010143,46.35063652626683,0.69924532583225,62.58353644462113,65.00762323620076,35.0,82.0,20.0,41.0,Medium Growth
Panipat,843,408121.0,70.25,34010.083333333336,1.8997507175104373,0.33324851280963813,5.633802816901401,-19.33318580806963,15.705625462433604,14.680130917357113,0.5454545454545454,0.562,12,88.83034773445732,0.5797186435417425,0.4698972687746718,53.57900936349142,0.5702102831641125,56.27835618512423,64.96421492127104,103.0,57.0,50.0,42.0,Medium Growth
Botanical Garden,863,430062.0,71.91666666666667,35838.5,2.062036091927396,3.27074241787156,1.449275362318847,-4.025321486359889,16.401011743854742,19.955772894590144,0.5454545454545454,0.5753333333333334,12,90.93782929399367,0.6008395612516089,0.4227945720147317,52.9621565556858,0.5511808039690037,54.94629264146662,64.95009920291241,60.0,61.0,58.0,43.0,Medium Growth
DLF Phase 3,842,401056.0,70.16666666666667,33421.333333333336,2.149024435692559,3.310527043059113,9.859154929577475,18.404437363545178,18.5475121580442,14.095763076120267,0.5454545454545454,0.5613333333333334,12,88.72497365648051,0.6121608134407377,0.5174595040395872,57.428028968027746,0.4924410990518553,50.83451329726623,64.83905767333512,104.0,43.0,85.0,44.0,Medium Growth
Mundka,830,405370.0,69.16666666666667,33780.833333333336,2.150744165159154,4.795514478233108,20.63492063492063,41.77713961331686,18.580324658679565,19.63241216450372,0.36363636363636365,0.5533333333333333,12,87.46048472075869,0.6123846306804469,0.6387557865670429,62.293309303508536,0.49154317394912805,45.31711308552987,64.75060306328999,130.0,33.0,122.0,45.0,Medium Growth
Shastri Park,867,404088.0,72.25,33674.0,4.3841889402332,5.753105190038326,5.633802816901401,-8.942775733111718,32.825584522678945,44.71558876547695,0.6363636363636364,0.5780000000000001,12,91.35932560590095,0.9030602597896371,0.4698972687746718,72.9795063383651,0.10171685230111127,26.21108875198688,64.46292684271239,53.0,13.0,173.0,46.0,Medium Growth
Saket A Block,823,387840.0,68.58333333333333,32320.0,1.6691287246234625,0.8630468005239122,10.769230769230775,3.58136721113127,18.151909187462405,16.959942510312402,0.6363636363636364,0.5486666666666666,12,86.72286617492097,0.5497039354921047,0.5277036777889536,54.090383241084425,0.5032669072383852,54.31959259759604,63.948890928188874,153.0,55.0,62.0,47.0,Medium Growth
Karkarduma,836,393285.0,69.66666666666667,32773.75,2.8817047919014485,2.669994440930331,0.0,-4.588462390430681,19.54895737685914,16.4774530737095,0.45454545454545453,0.5573333333333332,12,88.0927291886196,0.7075167971005101,0.40648095508811827,58.710246029555336,0.4650362142193073,46.18889863171514,63.76858675792255,118.0,41.0,114.0,48.0,Medium Growth
Kaushambi,855,416506.0,71.25,34708.833333333336,2.7396720533912573,2.3333694198681916,-3.703703703703709,11.368360277136258,20.181255742315276,21.519220541452952,0.5454545454545454,0.5700000000000001,12,90.09483667017913,0.689031694589219,0.36479060072010605,55.93352570415738,0.447733157037968,47.704957356294116,63.713348489604925,74.0,49.0,109.0,49.0,Medium Growth
Dwarka Mor,840,409203.0,70.0,34100.25,1.353593744792172,2.6849319735566453,12.5,16.144739645150487,16.99226778568641,16.468835607641054,0.5454545454545454,0.5599999999999999,12,88.51422550052686,0.5086380762454281,0.5471859010801592,52.40572061793205,0.5350008837611673,53.81369822691807,63.660665365406295,108.0,64.0,64.0,50.0,Medium Growth
Adarsh Nagar,858,387013.0,71.5,32251.083333333332,1.8181712097609803,2.442752058035708,5.882352941176472,-13.937282229965152,17.032681281620167,22.921631065057746,0.45454545454545453,0.5720000000000001,12,90.41095890410958,0.5691013339032245,0.47269504731966694,53.053881926980154,0.5338949548686655,51.009010477170214,63.647543585175995,71.0,60.0,81.0,51.0,Medium Growth
Maidan Garhi,825,388611.0,68.75,32384.25,1.9942825405351046,4.3589490439651115,-7.9999999999999964,6.621033373288743,13.377889992759675,19.4939146743543,0.5454545454545454,0.5499999999999999,12,86.9336143308746,0.5920216552101742,0.3164297896532121,48.17849089873894,0.633909546257643,60.73730460167136,63.57267203925937,143.0,74.0,26.0,52.0,Medium Growth
Patel Chowk,854,394432.0,71.16666666666667,32869.333333333336,1.5325775702338207,2.204213609419599,16.92307692307693,1.6719112552048498,21.405766326896682,25.529960738678575,0.5454545454545454,0.5693333333333334,12,89.98946259220232,0.5319322434624778,0.5969738050465737,55.79488680961162,0.4142240135359402,45.35931731115217,62.922588694851,76.0,50.0,121.0,53.0,Medium Growth
Peeragarhi,861,416593.0,71.75,34716.083333333336,2.7371324284061656,2.637138911829138,-7.692307692307687,-3.5275769176237093,19.381504456999284,22.63609306674083,0.45454545454545453,0.5740000000000001,12,90.72708113804005,0.6887011705939622,0.3198932960160931,54.11780207628145,0.4696186196244314,46.50966701007383,62.818145274946744,66.0,54.0,113.0,54.0,Medium Growth
Shivaji Park,900,430624.0,75.0,35885.333333333336,0.8568712628732769,-0.14106072919859033,1.5625,10.812572421784484,16.021338244790098,16.7233351372257,0.5454545454545454,0.6,12,94.83667017913592,0.4439912483785218,0.42406907333712335,43.602237836196245,0.5615706968162129,55.67358514077125,62.59397173045065,11.0,90.0,54.0,55.0,Medium Growth
Vatika Chowk,833,375053.0,69.41666666666667,31254.416666666668,1.570793391645697,5.8337200663003355,0.0,18.876637789074245,14.537693412023028,20.86593108567244,0.45454545454545453,0.5553333333333333,12,87.77660695468916,0.5369059092789756,0.40648095508811827,48.47359276026327,0.6021711360718922,55.78834316139609,62.45892213893089,124.0,73.0,53.0,56.0,Medium Growth
Huda City Centre,852,412534.0,71.0,34377.833333333336,1.8037386436901643,5.7899570853153515,6.329113924050622,24.860716913697047,20.362770533394052,31.32566457653526,0.5454545454545454,0.5680000000000001,12,89.77871443624869,0.5672229820097215,0.4777239657169996,53.142337549263274,0.442765943803075,47.357252429851606,62.3977250795354,81.0,58.0,110.0,57.0,Medium Growth
Noida Sector 18,799,389016.0,66.58333333333333,32418.0,3.9148230790161547,3.9899024067330298,1.5625,-2.149259191512709,29.433180645120405,29.832657375825253,0.6363636363636364,0.5326666666666667,12,84.19388830347735,0.8419738078145179,0.42406907333712335,67.481191402356,0.19455112403491137,32.70948777335288,62.06348938399147,173.0,25.0,166.0,58.0,Medium Growth
Vinobapuri,823,385688.0,68.58333333333333,32140.666666666668,3.7839058384884168,3.6659646898827756,5.882352941176472,16.383906931652923,30.295611439411736,29.7159285972398,0.5454545454545454,0.5486666666666666,12,86.72286617492097,0.8249353514907534,0.47269504731966694,68.40392298223188,0.17095041562914848,28.330165457676753,61.87747868267207,153.0,22.0,172.0,59.0,Medium Growth
Sikanderpur,855,391353.0,71.25,32612.75,2.8060898313024585,2.8562053388149726,-4.054054054054057,-12.853355657876374,20.84071418067907,23.034698030875248,0.36363636363636365,0.5700000000000001,12,90.09483667017913,0.6976757540232531,0.360846918550159,56.29442198340154,0.42968685533751394,40.98717078271688,61.84237102922942,74.0,47.0,143.0,60.0,Medium Growth
IGNOU Road,818,403924.0,68.16666666666667,33660.333333333336,1.973011126721355,2.297772648606872,18.032786885245898,23.50630043890698,21.24434195187668,23.064962060628705,0.36363636363636365,0.5453333333333333,12,86.19599578503689,0.5892532493550761,0.6094651394700789,59.733800540107715,0.41864144578632745,40.21399211413383,61.816516585794304,159.0,36.0,147.0,61.0,Medium Growth
AIIMS,918,449519.0,76.5,37459.916666666664,-0.7060558304646548,2.8176546983773503,13.235294117647056,53.095945247933884,10.696972084333726,22.277151643619096,0.36363636363636365,0.612,12,96.73340358271865,0.24058133147438002,0.5554626626091027,36.65338639282692,0.707273765433675,60.41825448944817,61.80685197878081,7.0,113.0,29.0,62.0,Medium Growth
Badarpur,921,448495.0,76.75,37374.583333333336,1.1069983207090577,-0.5018426868891016,-10.126582278481012,-17.287009835227995,16.307216685183977,19.52301739415423,0.5454545454545454,0.614,12,97.04952581664911,0.4765444776793161,0.2924921380819079,40.29235418403528,0.5537475372584952,55.12596397173103,61.76958861012815,4.0,99.0,56.0,63.0,Medium Growth
Okhla,827,409262.0,68.91666666666667,34105.166666666664,2.340252330063126,4.751924521762256,-3.703703703703709,15.416741859805615,17.06479268298693,23.481286592182936,0.36363636363636365,0.5513333333333333,12,87.14436248682824,0.637048506711572,0.36479060072010605,52.81453443149856,0.5330162155829468,48.220225999897174,61.73519031861705,136.0,62.0,104.0,64.0,Medium Growth
Lajpat Nagar,826,393459.0,68.83333333333333,32788.25,2.1975844519849237,1.4593231036741974,21.42857142857142,3.5068395807425823,27.056757141495996,27.91518490427432,0.5454545454545454,0.5506666666666666,12,87.03898840885142,0.6184807428353957,0.6476894339316168,63.01642192738841,0.25958275153347143,34.534428970979356,61.6785939849046,141.0,30.0,161.0,65.0,Medium Growth
Tis Hazari,842,407726.0,70.16666666666667,33977.166666666664,0.5136801039065464,-0.5278161626339416,20.338983050847446,13.028825469668725,18.483058691226624,13.950409613758074,0.5454545454545454,0.5613333333333334,12,88.72497365648051,0.3993260266767409,0.6354245960243203,49.376545441577264,0.4942048898234407,50.9579786512772,61.65550386895822,104.0,72.0,83.0,66.0,Medium Growth
Greater Noida,866,443575.0,72.16666666666667,36964.583333333336,0.4973192713486373,-0.09538966482280031,-10.666666666666668,-11.26724722913368,10.347766250680463,12.956654655119406,0.5454545454545454,0.5773333333333334,12,91.25395152792413,0.3971967171233571,0.28641273450824334,35.28831240773116,0.7168299003817715,66.54172939036036,61.45402923857782,55.0,120.0,8.0,67.0,Medium Growth
INA Market,839,391989.0,69.91666666666667,32665.75,1.1499097398854885,3.2260807816212607,20.370370370370374,36.587151720682876,20.768717551014515,26.224624737544246,0.45454545454545453,0.5593333333333333,12,88.40885142255004,0.48212926038998943,0.6357779041121849,54.35887178788676,0.4316570672944131,43.85235834697255,61.42191164601148,110.0,53.0,128.0,68.0,Medium Growth
Sohna Road,842,410096.0,70.16666666666667,34174.666666666664,0.18859490258503941,1.650983918461568,10.144927536231885,14.509713495128839,14.023645384862848,14.313043678963345,0.5454545454545454,0.5613333333333334,12,88.72497365648051,0.35701723692612614,0.5206762735744123,42.24808515854406,0.6162382330214324,59.50031267513663,61.36681996290277,104.0,94.0,35.0,69.0,Medium Growth
Mansarovar Park,877,410340.0,73.08333333333333,34195.0,2.208088139039285,2.913243416924588,-7.8947368421052655,-11.043692467263067,19.891431245995797,22.241626505143266,0.45454545454545453,0.5846666666666667,12,92.41306638566913,0.6198477638052298,0.31761467340893446,49.89545276467117,0.4556643017417047,45.53286475828296,61.3419604490541,34.0,69.0,120.0,70.0,Medium Growth
Anand Vihar,859,401098.0,71.58333333333333,33424.833333333336,0.49750657466904186,2.3288376888752196,-7.352941176470584,-5.345165617583325,12.707688425872517,17.274323975069347,0.6363636363636364,0.5726666666666667,12,90.51633298208641,0.3972210940459926,0.32371333979868244,36.78179923470685,0.6522498372791231,64.7483977004477,61.292138898642975,70.0,112.0,14.0,71.0,Medium Growth
Udyog Vihar,897,442274.0,74.75,36856.166666666664,1.2263881563292005,2.5587529754356093,-7.86516853932584,-13.283174645449103,15.849720582717854,20.859860667744123,0.45454545454545453,0.598,12,94.52054794520548,0.4920826794586627,0.3179475059245869,42.24286100450324,0.5662670717910582,53.27505866173771,61.23582638388425,13.0,95.0,66.0,72.0,Medium Growth
Basai Dhankot,862,425497.0,71.83333333333333,35458.083333333336,0.3636443984807801,-0.18134136284691624,0.0,-20.27860242064399,10.501680241094421,14.574289042451882,0.36363636363636365,0.5746666666666667,12,90.83245521601685,0.3797993638506901,0.40648095508811827,39.04720003456613,0.7126179923291236,60.792350372129555,61.10632169027038,62.0,102.0,25.0,73.0,Medium Growth
Vidhan Sabha,825,384050.0,68.75,32004.166666666668,2.942255350646015,4.146555390568701,-13.513513513513509,-4.082549778761058,19.788664506709587,30.63583623638193,0.45454545454545453,0.5499999999999999,12,86.9336143308746,0.715397256896256,0.2543674999615876,53.09853541223886,0.45847654808513205,45.72972200232287,61.03841506485479,143.0,59.0,118.0,74.0,Medium Growth
MG Road,820,385292.0,68.33333333333333,32107.666666666668,0.007161058890525157,2.3879076427140493,3.1746031746031855,11.803388319215347,11.70999356905093,22.19235723195215,0.6363636363636364,0.5466666666666666,12,86.40674394099051,0.33340420774081625,0.4422155445464145,37.69287424630555,0.6795520921958482,66.65955554461847,60.99703954420491,157.0,109.0,7.0,75.0,Medium Growth
Jasola,887,424511.0,73.91666666666667,35375.916666666664,-0.44446304259277464,1.2595596271093734,14.0625,40.94776943069747,13.705593917005718,19.46323835205607,0.45454545454545453,0.5913333333333333,12,93.4668071654373,0.27462678853412076,0.5647740193291643,39.06856808521382,0.6249418182837014,57.382290916222736,60.88215665858354,18.0,101.0,43.0,76.0,Medium Growth
