zone,current_revenue,projected_revenue,required_investment,expected_roi_percent,payback_period_months,investment_risk
Yamuna Bank,393836.0,444635.13623188407,19691.800000000003,157.97101449275362,4.651685393258426,Low
Gurgaon Sector 29,382801.0,437486.8571428572,19140.05,185.7142857142861,4.199999999999994,Low
New Colony,429310.0,476534.10000000003,21465.5,120.00000000000017,5.454545454545451,Low
Model Town,395974.0,447217.6941176471,19798.7,158.82352941176475,4.636363636363636,Low
Kashmere Gate ISBT,402063.0,446289.93000000005,20103.15,120.00000000000024,5.454545454545449,Low
Tagore Garden,435444.0,483342.84,21772.2,120.00000000000011,5.454545454545452,Low
Bhiwadi,408441.0,473311.04117647064,20422.050000000003,217.64705882352962,3.7777777777777755,Low
Kalkaji,386226.0,428710.86000000004,19311.3,120.00000000000024,5.454545454545449,Low
Udyog Vihar Phase 4,396936.0,440598.96,19846.800000000003,120.00000000000009,5.454545454545452,Low
Chanakyapuri,412285.0,457636.35000000003,20614.25,120.00000000000017,5.454545454545451,Low
Gurgaon Sector 56,400402.0,476192.3785714286,20020.100000000002,278.5714285714286,3.1698113207547163,Low
Noida Film City,426084.0,472953.24000000005,21304.2,120.00000000000021,5.454545454545449,Low
Akshardham,385633.0,454802.09365079366,19281.65,258.73015873015873,3.3451327433628317,Low
Shahdara,392220.0,495740.36065573775,19611.0,427.8688524590166,2.2732919254658377,Low
Ghitorni,410834.0,456025.74000000005,20541.7,120.00000000000024,5.454545454545449,Low
Noida Extension,400064.0,444071.04000000004,20003.2,120.00000000000017,5.454545454545451,Low
Mayur Vihar,432947.0,491432.82280701766,21647.350000000002,170.1754385964917,4.441558441558434,Low
Lok Kalyan Marg,421207.0,467539.77,21060.350000000002,120.00000000000006,5.454545454545452,Low
Anand Vihar ISBT,416948.0,462812.28,20847.4,120.00000000000013,5.4545454545454515,Low
Subhash Chowk,433714.0,481422.54000000004,21685.7,120.00000000000017,5.454545454545451,Low
Inderlok,440036.0,488439.96,22001.800000000003,120.00000000000006,5.454545454545452,Low
Moti Nagar,395022.0,438474.42000000004,19751.100000000002,120.0000000000002,5.45454545454545,Low
Punjabi Bagh,422482.0,468955.02,21124.100000000002,120.00000000000006,5.454545454545452,Low
Dwarka Sector 21,438175.0,486374.25000000006,21908.75,120.00000000000026,5.454545454545448,Low
GTB Nagar,413500.0,458985.00000000006,20675.0,120.00000000000028,5.454545454545448,Low
Netaji Subhash Place,388841.0,439876.38125000003,19442.05,162.5000000000002,4.5714285714285685,Low
Ghitorni Village,369269.0,409888.59,18463.45,120.00000000000013,5.4545454545454515,Low
South Extension,398209.0,442011.99000000005,19910.45,120.00000000000024,5.454545454545449,Low
Janakpuri,403529.0,447917.19000000006,20176.45,120.00000000000028,5.454545454545447,Low
Karol Bagh,410313.0,455447.43000000005,20515.65,120.00000000000024,5.454545454545449,Low
Lal Quila,387948.0,451374.4190476191,19397.4,226.98412698412724,3.6699029126213567,Low
Delhi Gate,404321.0,448796.31000000006,20216.050000000003,120.00000000000024,5.454545454545448,Low
Green Park,387193.0,429784.23000000004,19359.65,120.0000000000002,5.45454545454545,Low
Jor Bagh,424411.0,471096.21,21220.550000000003,120.00000000000006,5.454545454545453,Low
Ashok Vihar,386281.0,457644.7779661017,19314.05,269.4915254237289,3.2477064220183474,Low
Ghaziabad,410026.0,455128.86000000004,20501.300000000003,120.0000000000002,5.45454545454545,Low
India Gate,420200.0,466422.00000000006,21010.0,120.00000000000028,5.454545454545448,Low
New Delhi Railway Station,400668.0,444741.48000000004,20033.4,120.00000000000017,5.454545454545451,Low
Kashmere Gate,388083.0,430772.13000000006,19404.15,120.00000000000031,5.454545454545447,Low
Subhash Nagar,425853.0,472696.83,21292.65,120.00000000000006,5.454545454545452,Low
Moolchand,394508.0,437903.88000000006,19725.4,120.00000000000031,5.454545454545447,Low
Kanhaiya Nagar,420907.0,467206.77,21045.350000000002,120.00000000000006,5.454545454545452,Low
Barakhamba Road,460386.0,511028.46,23019.300000000003,120.00000000000006,5.454545454545453,Low
Cyber Hub,411162.0,456389.82000000007,20558.100000000002,120.00000000000028,5.454545454545447,Low
Kirti Nagar,393920.0,437251.2,19696.0,120.00000000000006,5.454545454545453,Low
Raj Nagar Extension,408492.0,453426.12000000005,20424.600000000002,120.00000000000024,5.454545454545449,Low
Aya Nagar,411024.0,456236.64,20551.2,120.00000000000006,5.454545454545453,Low
Jama Masjid,419219.0,465333.09,20960.95,120.00000000000011,5.4545454545454515,Low
Pulbangash,406207.0,450889.77,20310.350000000002,120.00000000000006,5.454545454545452,Low
Kherki Daula Toll,409104.0,454105.44000000006,20455.2,120.00000000000028,5.454545454545448,Low
Vishwavidyalaya,430321.0,477656.31000000006,21516.050000000003,120.00000000000024,5.454545454545449,Low
Tilak Nagar,430719.0,478098.09,21535.95,120.00000000000011,5.454545454545452,Low
Saidulajab,428008.0,475088.88000000006,21400.4,120.00000000000028,5.454545454545448,Low
Khan Market,399239.0,443155.29000000004,19961.95,120.00000000000017,5.454545454545451,Low
Noida Sector 62,389106.0,431907.66000000003,19455.3,120.00000000000017,5.454545454545451,Low
Badshahpur,418624.0,464672.64,20931.2,120.00000000000006,5.454545454545453,Low
Vasant Kunj,413000.0,458430.00000000006,20650.0,120.00000000000028,5.454545454545448,Low
Laxmi Nagar,370702.0,411479.22000000003,18535.100000000002,120.00000000000013,5.4545454545454515,Low
Nirman Vihar,416615.0,462442.65,20830.75,120.00000000000011,5.454545454545452,Low
Vaishali,403419.0,447795.09,20170.95,120.00000000000013,5.4545454545454515,Low
Sonipat,385030.0,427383.30000000005,19251.5,120.00000000000024,5.454545454545448,Low
Shastri Nagar,426250.0,473137.50000000006,21312.5,120.00000000000028,5.454545454545448,Low
Meerut,391872.0,434977.92000000004,19593.600000000002,120.0000000000002,5.45454545454545,Low
Faridabad Sector 15,383063.0,425199.93000000005,19153.15,120.00000000000024,5.454545454545449,Low
IMT Manesar,420213.0,466436.43000000005,21010.65,120.00000000000021,5.454545454545449,Low
Palam Vihar,378228.0,419833.08,18911.4,120.00000000000006,5.454545454545452,Low
Jhilmil,395684.0,439209.24000000005,19784.2,120.00000000000024,5.454545454545449,Low
Chhatarpur,387506.0,430131.66000000003,19375.3,120.00000000000017,5.454545454545451,Low
Mandi House,375836.0,417177.96,18791.8,120.00000000000013,5.4545454545454515,Low
