zone,total_rides,total_revenue,avg_ride_growth_rate,recent_ride_growth_rate,overall_growth_index,growth_category,volume_rank,growth_rank,overall_rank
Inderlok,887,440036.0,0.9332185418081845,-16.883116883116877,55.911788861955486,Stable,18.0,116.0,128.0
Moti Nagar,853,395022.0,0.5821487122747719,-14.634146341463417,55.77483939186624,Stable,80.0,124.0,129.0
Punjabi Bagh,868,422482.0,1.1673410969096005,-12.0,55.694707200853934,Stable,48.0,100.0,130.0
Dwarka Sector 21,914,438175.0,1.198066073931095,-7.692307692307687,55.538108397724145,Stable,9.0,96.0,131.0
GTB Nagar,872,413500.0,-1.3988280804237065,-5.405405405405405,55.21162653545382,Stable,42.0,157.0,132.0
Netaji Subhash Place,830,388841.0,1.189115740978788,3.125,55.11622450996742,Stable,130.0,78.0,133.0
Ghitorni Village,790,369269.0,1.049026807123325,-11.940298507462687,55.10405213793533,Stable,176.0,103.0,134.0
South Extension,844,398209.0,0.6495093351990555,-30.33707865168539,54.957562922395965,Stable,100.0,147.0,135.0
Janakpuri,848,403529.0,-0.8664695328072043,-6.060606060606055,54.91178356227254,Stable,90.0,150.0,136.0
Karol Bagh,869,410313.0,-1.5749461342780402,-18.9873417721519,54.840420967561904,Stable,45.0,168.0,137.0
Lal Quila,827,387948.0,-0.5814308697933799,6.349206349206349,54.436948924595285,Stable,136.0,122.0,138.0
Delhi Gate,854,404321.0,1.326448409550582,-25.0,54.25113817148866,Stable,76.0,119.0,139.0
Green Park,842,387193.0,-0.6369666840968683,0.0,54.23727711198792,Stable,104.0,133.0,140.0
Jor Bagh,884,424411.0,0.5300454694047386,-17.500000000000004,54.235773937244176,Stable,23.0,128.0,141.0
Ashok Vihar,796,386281.0,-0.3502447853186197,8.47457627118644,54.13049631773992,Stable,175.0,111.0,142.0
Ghaziabad,851,410026.0,-0.989465219703687,-12.16216216216216,54.1124507600893,Stable,83.0,155.0,143.0
India Gate,868,420200.0,0.9119577173773986,-11.267605633802813,54.05326145692881,Stable,48.0,106.0,144.0
New Delhi Railway Station,847,400668.0,0.051672240248074146,-9.589041095890416,54.0363035450315,Stable,94.0,129.0,145.0
Kashmere Gate,835,388083.0,-0.18222191712655703,-18.9873417721519,53.86434691298263,Stable,120.0,152.0,146.0
Subhash Nagar,861,425853.0,-0.5974729844937587,-8.21917808219178,53.372173879509816,Stable,66.0,146.0,147.0
Moolchand,848,394508.0,-0.9362246753550828,-4.225352112676061,53.371425566326806,Stable,90.0,149.0,148.0
Kanhaiya Nagar,895,420907.0,0.3970467048750715,-21.176470588235297,53.25380196115185,Stable,14.0,139.0,149.0
Barakhamba Road,946,460386.0,0.19721861473465518,-34.883720930232556,53.253313429588104,Stable,2.0,160.0,150.0
Cyber Hub,864,411162.0,-0.991507658210768,-17.721518987341767,53.054893928318165,Stable,58.0,162.0,151.0
Kirti Nagar,827,393920.0,0.1489939091477911,-20.512820512820518,52.60595462857432,Stable,136.0,145.0,152.0
Raj Nagar Extension,845,408492.0,1.1033141872938275,-26.249999999999996,52.53513480754483,Stable,99.0,125.0,153.0
Aya Nagar,870,411024.0,-2.1444268376700277,-13.043478260869568,52.47739485243308,Stable,44.0,170.0,154.0
Jama Masjid,849,419219.0,-1.148357952690131,-1.6129032258064502,52.34089114207171,Stable,89.0,151.0,155.0
Pulbangash,860,406207.0,0.5843398609610243,-19.753086419753085,51.94412769891976,Stable,69.0,131.0,156.0
Kherki Daula Toll,824,409104.0,-0.21875127007073789,-18.42105263157895,51.82440942568967,Stable,148.0,153.0,157.0
Vishwavidyalaya,895,430321.0,-0.4100267774700422,-25.609756097560975,51.598975182505036,Stable,14.0,161.0,158.0
Tilak Nagar,900,430719.0,-1.9336776719128046,-18.9873417721519,51.48738410007637,Stable,11.0,171.0,159.0
Saidulajab,862,428008.0,-0.22816878447816,-13.432835820895528,51.39520340845729,Stable,62.0,143.0,160.0
Khan Market,832,399239.0,-0.3197683330916066,-11.764705882352944,50.45232763776857,Stable,125.0,142.0,161.0
Noida Sector 62,834,389106.0,0.36109716235334877,-17.721518987341767,50.434716671529536,Stable,122.0,134.0,162.0
Badshahpur,868,418624.0,-1.81194475610203,-15.000000000000002,50.408566629671185,Stable,48.0,169.0,163.0
Vasant Kunj,873,413000.0,-0.09316883387091773,-27.77777777777778,49.89728546896808,Stable,39.0,156.0,164.0
Laxmi Nagar,797,370702.0,-1.225944671217948,-20.895522388059707,49.78726485895412,Stable,174.0,165.0,165.0
Nirman Vihar,846,416615.0,-1.5360814530402762,-11.111111111111116,49.336744130939884,Stable,98.0,163.0,166.0
Vaishali,869,403419.0,0.12259284565349902,-13.698630136986301,48.8721095458833,Stable,45.0,136.0,167.0
Sonipat,857,385030.0,-1.942297494373436,-23.076923076923073,48.818393479525426,Stable,72.0,172.0,168.0
Shastri Nagar,868,426250.0,-1.4559363506742236,-20.731707317073166,48.71930610893914,Stable,48.0,167.0,169.0
Meerut,834,391872.0,0.25896481004016114,-20.833333333333336,47.852614401696314,Stable,122.0,141.0,170.0
Faridabad Sector 15,831,383063.0,-2.3879273120702305,-19.17808219178082,47.743636066170815,Stable,128.0,175.0,171.0
IMT Manesar,840,420213.0,-1.590668336190671,-29.411764705882348,46.39768721957908,Stable,108.0,173.0,172.0
Palam Vihar,818,378228.0,-0.8651776914241102,-23.529411764705888,46.04497118746498,Stable,159.0,164.0,173.0
Jhilmil,824,395684.0,-0.6678245161047229,-34.14634146341463,44.106859794858536,Stable,148.0,166.0,174.0
Chhatarpur,829,387506.0,-2.5545944210871556,-17.85714285714286,43.86393376883895,Stable,134.0,176.0,175.0
Mandi House,800,375836.0,-1.3766958415993094,-36.111111111111114,36.17179094337885,Declining,171.0,174.0,176.0
